judul,sumber,penulis,deskripsi,url,tanggal,konten,keyword,metode
DPR: Setiap Kampus Wajib Punya Satgas Pencegahan Kekerasan Seksual - RM.ID,Google News,,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxOMEJXenJrcDhjQXA4TFhsWW8zR0hRTDBLaUtwZlAyMXRKTjZWRmJQMzdPVnpaV2Ffbk1XNGxIOWZYLXJGbXZBQ2c1OXhOS3ZGbDBvYXZQLXBrRi1kbGliQnJ6dEdzMlgwNDY5RHl6M3hoS0wzNVV4S1FCc0lreG5QTkVuVTc3ejdFOUNYWnpGWU9XbDhXbWY3WGU4bHlQSjVMUjlaRllfVkJkMnM?oc=5"" target=""_blank"">DPR: Setiap Kampus Wajib Punya Satgas Pencegahan Kekerasan Seksual</a>&nbsp;&nbsp;<font color=""#",https://news.google.com/rss/articles/CBMiqwFBVV95cUxOMEJXenJrcDhjQXA4TFhsWW8zR0hRTDBLaUtwZlAyMXRKTjZWRmJQMzdPVnpaV2Ffbk1XNGxIOWZYLXJGbXZBQ2c1OXhOS3ZGbDBvYXZQLXBrRi1kbGliQnJ6dEdzMlgwNDY5RHl6M3hoS0wzNVV4S1FCc0lreG5QTkVuVTc3ejdFOUNYWnpGWU9XbDhXbWY3WGU4bHlQSjVMUjlaRllfVkJkMnM?oc=5,2026-04-24 14:14:00,,peningkatan kekerasan seksual kampus,RSS
Kemendiktisaintek Terima 800 Laporan Kekerasan Seksual di Kampus - Berita Jejak Fakta,Google News,,"<a href=""https://news.google.com/rss/articles/CBMif0FVX3lxTE96eVRXeXgwOEc2NVVpcGk1Mmp3aUJPWkwzZEdhS1ZMOENsTFpVNF90WGtqQlY1OHZMRzdhdWFTZE9WaGVOLXF0UFVBYzdQUFF5RUVhamU0RjBEc1BsSS0zOG5WdHp3NEhlVjE3a2xkYWg3U1F1dWljdTdHd2lXUDA?oc=5"" target=""_blank"">Kemendiktisaintek Terima 800 Laporan Kekerasan Seksual di Kampus</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Berita Jejak Fakta</font>",https://news.google.com/rss/articles/CBMif0FVX3lxTE96eVRXeXgwOEc2NVVpcGk1Mmp3aUJPWkwzZEdhS1ZMOENsTFpVNF90WGtqQlY1OHZMRzdhdWFTZE9WaGVOLXF0UFVBYzdQUFF5RUVhamU0RjBEc1BsSS0zOG5WdHp3NEhlVjE3a2xkYWg3U1F1dWljdTdHd2lXUDA?oc=5,2026-04-24 07:22:18,,statistik kekerasan seksual universitas,RSS
"Berpikir dan Bekerja, Mengantar Jakarta Menuju Ibu Kota ASEAN - Kompas.id",Google News,,"<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxQZmZhSWduU0FJMWRzbDVoUWtuckVFeXdFVUV4MmIydEtyRkI5dURMV21nT1ZwWWxLN2wzN0xMZkdGU2lURnFUeHh5aDNYd0pzNjU0Sm9YczNwM29ncU1xak1ndDhaM2w1V29tNmF2b1lQenVQTERwZ3R3VHVwQURNTHBleEVaNUc3elB2TkxlRmZldXR2?oc=5"" target=""_blank"">Berpikir dan Bekerja, Mengantar Jakarta Menuju Ibu Kota ASEAN</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kompas.id</font>",https://news.google.com/rss/articles/CBMilAFBVV95cUxQZmZhSWduU0FJMWRzbDVoUWtuckVFeXdFVUV4MmIydEtyRkI5dURMV21nT1ZwWWxLN2wzN0xMZkdGU2lURnFUeHh5aDNYd0pzNjU0Sm9YczNwM29ncU1xak1ndDhaM2w1V29tNmF2b1lQenVQTERwZ3R3VHVwQURNTHBleEVaNUc3elB2TkxlRmZldXR2?oc=5,2026-04-24 02:00:00,,lonjakan pelecehan seksual mahasiswa,RSS
"Ini Mekanisme Satgas PPKS UMRAH, dalam Tangani Kasus Kekerasan Seksual - RRI.co.id",Google News,,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxQUFpFeTZfYUV1OGpjLV9PN2FlUnNJMFk2ZGJDZEtYZ0NCaFU4aXh4Wlg2WDRSalpJRmhEcHgyVmZVbHhTQ2lrVThNTWFNeXpJcl9RczZja1FZSmhGVWlGWlNsT0tROTU2aDA2SU52UTNWZTRwMk9ZLVBZQXVxUzliSWNaQ3gxNmxzWkhEWi1YWDhWSUV5dFpTbGRucU9PaGktcm12UGoxV21ncFRlOWcwazN0b1JwWDNwanc?oc=5"" target=""_blank"">Ini Mekanisme Satgas PPKS UMRAH, dalam Tangani Kasus Kekerasan Seksual</a>&n",https://news.google.com/rss/articles/CBMiugFBVV95cUxQUFpFeTZfYUV1OGpjLV9PN2FlUnNJMFk2ZGJDZEtYZ0NCaFU4aXh4Wlg2WDRSalpJRmhEcHgyVmZVbHhTQ2lrVThNTWFNeXpJcl9RczZja1FZSmhGVWlGWlNsT0tROTU2aDA2SU52UTNWZTRwMk9ZLVBZQXVxUzliSWNaQ3gxNmxzWkhEWi1YWDhWSUV5dFpTbGRucU9PaGktcm12UGoxV21ncFRlOWcwazN0b1JwWDNwanc?oc=5,2026-04-24 01:46:00,,peningkatan kekerasan seksual kampus,RSS
Menimbang Pembatasan Batubara dan Hilirisasi demi Praktik Tambang Berkelanjutan - Kompas.id,Google News,,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxPZU9jNXkwSHY5ZXNxWVh6NTBuaFJ0RGl1NkRpcGlicHExZm9WemUzenVDTm5ZYjZEY3cxa1p3bU43YWVhQUZKcnBYdXlnWndldWJwUkdmMEhrYWtJbFFXNE5PR3MxUG1uXzJIRlFVNGRLVU9ObW1WOEkxN2dzN0RkMjI3aDhKRlpNQjZMckRSTWszZFBKeEtQS01LTjVpdG1MSklxcDlRQjJQZw?oc=5"" target=""_blank"">Menimbang Pembatasan Batubara dan Hilirisasi demi Praktik Tambang Berkelanjutan</a>&nbsp;&nbsp;<f",https://news.google.com/rss/articles/CBMiqgFBVV95cUxPZU9jNXkwSHY5ZXNxWVh6NTBuaFJ0RGl1NkRpcGlicHExZm9WemUzenVDTm5ZYjZEY3cxa1p3bU43YWVhQUZKcnBYdXlnWndldWJwUkdmMEhrYWtJbFFXNE5PR3MxUG1uXzJIRlFVNGRLVU9ObW1WOEkxN2dzN0RkMjI3aDhKRlpNQjZMckRSTWszZFBKeEtQS01LTjVpdG1MSklxcDlRQjJQZw?oc=5,2026-04-24 00:00:00,,lonjakan pelecehan seksual mahasiswa,RSS
"Google Indonesia Lantik 2.000 Google Student Ambassador 2026, Fokus Literasi AI - Media Indonesia",Google News,,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxQWUNGeFpPNTdjVTBKdjFLVVdKa2w5UUVpZ2xaaG9BdDhFYTdVQlVhdk1yS1Zxa2lYTnAzajA3TERaajN2M0phSVotSWVaR2lPRXRDSk1GNkRfMnNJaW83bXd0dkxlRnBUTGVDekxpMlpsWTBHdFhWM3VZVjdLUy0yQzBseWV2ZlNGakZRNE0xaFNyUmIydnpaa0dQeHFkZnpiM0tBdDBoRVNtbGQyY3l0UGc5ME9La3JrMThNSF9n?oc=5"" target=""_blank"">Google Indonesia Lantik 2.000 Google Student Ambassador 2026, Fokus Lit",https://news.google.com/rss/articles/CBMivgFBVV95cUxQWUNGeFpPNTdjVTBKdjFLVVdKa2w5UUVpZ2xaaG9BdDhFYTdVQlVhdk1yS1Zxa2lYTnAzajA3TERaajN2M0phSVotSWVaR2lPRXRDSk1GNkRfMnNJaW83bXd0dkxlRnBUTGVDekxpMlpsWTBHdFhWM3VZVjdLUy0yQzBseWV2ZlNGakZRNE0xaFNyUmIydnpaa0dQeHFkZnpiM0tBdDBoRVNtbGQyY3l0UGc5ME9La3JrMThNSF9n?oc=5,2026-04-23 20:25:57,,lonjakan pelecehan seksual mahasiswa,RSS
"Kasus Kekerasan Seksual Kampus Solo Naik, SPEK-HAM Dorong Perbanyak Pos Aduan hingga Edukasi Siber - Tribunsolo.com",Google News,,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxOdXp2RUwzcGVZV0Foc3hrRl92VFZrekZqN2tEMmxRcVhaVmhXUndsOXBWOHhOdi04dkMyMExYdzAtV0ZXcWdiY1Z1b0RGdDBtcm50bXBNU1RvalRLT015bkxUM0hoLVZEVEFKOUF0dDNvU1VDbldNTFpMdFFjUDlIVlp5MGZYakV1ZnlUemsxTFhjUndVcXhYeWFQWFFTdDV3REM5V0x2WEJ0VXVTZUFqWTBQMTFDSTFqVzVPNzR2RnNfVHdYVzVhaEh5Nkt4ZEtqQldz?oc=5"" target=""_blank"">Kasus Kekerasan Seksual Kampus Solo Naik, S",https://news.google.com/rss/articles/CBMi0wFBVV95cUxOdXp2RUwzcGVZV0Foc3hrRl92VFZrekZqN2tEMmxRcVhaVmhXUndsOXBWOHhOdi04dkMyMExYdzAtV0ZXcWdiY1Z1b0RGdDBtcm50bXBNU1RvalRLT015bkxUM0hoLVZEVEFKOUF0dDNvU1VDbldNTFpMdFFjUDlIVlp5MGZYakV1ZnlUemsxTFhjUndVcXhYeWFQWFFTdDV3REM5V0x2WEJ0VXVTZUFqWTBQMTFDSTFqVzVPNzR2RnNfVHdYVzVhaEh5Nkt4ZEtqQldz?oc=5,2026-04-23 15:00:46,,peningkatan kekerasan seksual kampus,RSS
"Cegah Kekerasan Seksual di Kampus Solo Merajalela, SPEK-HAM Desak Isu Ini Masuk Kurikulum Kampus! - Tribunsolo.com",Google News,,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxOT2oxMlNoMllBdl95U2RCUTlsblhmQ1E2SnZDWTdSNlBvekFIajNnMlJWeThvd1lycVpIXy1PZlYxZTkyZG5XZDZlVExkQ1JQUkhGZmFwSV8tQUM2bDROb1BIbXJqU0tsSlNWNzlra3NBZmt1TWNJQ1NaT0t4cTV2SXFES2NuS0JzNzZIUFZiSHVIOUU2cGhVRXdYaVZwOGktUXl2X2hYeEJvMHZueXdyQ21HdllEbGE4TGQ1dk1mY1p5cHhhbWNNR19iUW05MUY2?oc=5"" target=""_blank"">Cegah Kekerasan Seksual di Kampus Solo Merajale",https://news.google.com/rss/articles/CBMi0AFBVV95cUxOT2oxMlNoMllBdl95U2RCUTlsblhmQ1E2SnZDWTdSNlBvekFIajNnMlJWeThvd1lycVpIXy1PZlYxZTkyZG5XZDZlVExkQ1JQUkhGZmFwSV8tQUM2bDROb1BIbXJqU0tsSlNWNzlra3NBZmt1TWNJQ1NaT0t4cTV2SXFES2NuS0JzNzZIUFZiSHVIOUU2cGhVRXdYaVZwOGktUXl2X2hYeEJvMHZueXdyQ21HdllEbGE4TGQ1dk1mY1p5cHhhbWNNR19iUW05MUY2?oc=5,2026-04-23 10:07:27,,peningkatan kekerasan seksual kampus,RSS
"Di Balik Peningkatan Temuan Kasus Kekerasan Seksual di Kampus Solo, Kesadaran Korban Melapor Naik - Tribunsolo.com",Google News,,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPNmtKaFVnakdEUkdGRmpGamltNzVpTnZJQkxLdnJWb1J3TUZVRmlmM2VVY2h4bFpYSzVDVF9qcjgtY1psQ0x0ZFpNa1I5b0VoTi1HSHFXbmNfVjNvQUVjNE9KNnhCZTVnMVoycmdBSEFEd3JJRi1DTnZVVHlnUl9CVklNMXRXalNibmVvNk9UZW9RUHJBWmtIQ2g1RHJPLW5PYXZjZjFydUhBR1NoczloZ2djYTE5N3ltQ3BlZXR2SER6TVhaZUphNXFkMTYyV0J0WEE?oc=5"" target=""_blank"">Di Balik Peningkatan Temuan Kasus Kekerasan ",https://news.google.com/rss/articles/CBMi0gFBVV95cUxPNmtKaFVnakdEUkdGRmpGamltNzVpTnZJQkxLdnJWb1J3TUZVRmlmM2VVY2h4bFpYSzVDVF9qcjgtY1psQ0x0ZFpNa1I5b0VoTi1HSHFXbmNfVjNvQUVjNE9KNnhCZTVnMVoycmdBSEFEd3JJRi1DTnZVVHlnUl9CVklNMXRXalNibmVvNk9UZW9RUHJBWmtIQ2g1RHJPLW5PYXZjZjFydUhBR1NoczloZ2djYTE5N3ltQ3BlZXR2SER6TVhaZUphNXFkMTYyV0J0WEE?oc=5,2026-04-23 09:03:08,,peningkatan kekerasan seksual kampus,RSS
"UMY Catat Lonjakan Mahasiswa Asing di Tengah Konflik Global - Kementerian Pendidikan Tinggi, Sains, dan Teknologi",Google News,,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxNX0dUV04zdm9DMnlnODFLNmx3eHlqZlQ1LWxnMlotZUhIcTl5ekJWSVBUWklwMWRac0ZnNE14U2MxTmR2NWFEZjhYdEpvaUNiQ1RnNTlfamxyVW93ZFN4TVRZZS03YWpjQVNxUkhnSGhvRU9DR1B6OWtWTkhHUVFsYUQzRlRHSDNlYzF0X1gwWFAxVi10bHZZaFl5X3Itc1pvNGpBUU44cURZZC02T21uZERTTVE?oc=5"" target=""_blank"">UMY Catat Lonjakan Mahasiswa Asing di Tengah Konflik Global</a>&nbsp;&nbsp;<font col",https://news.google.com/rss/articles/CBMitAFBVV95cUxNX0dUV04zdm9DMnlnODFLNmx3eHlqZlQ1LWxnMlotZUhIcTl5ekJWSVBUWklwMWRac0ZnNE14U2MxTmR2NWFEZjhYdEpvaUNiQ1RnNTlfamxyVW93ZFN4TVRZZS03YWpjQVNxUkhnSGhvRU9DR1B6OWtWTkhHUVFsYUQzRlRHSDNlYzF0X1gwWFAxVi10bHZZaFl5X3Itc1pvNGpBUU44cURZZC02T21uZERTTVE?oc=5,2026-04-23 03:14:42,,lonjakan pelecehan seksual mahasiswa,RSS
