video_id,penulis,komentar,likes,tanggal,url_video
5H1OXFi7dPo,@deviswdr4593,"Ini memalukan untuk ui, ui harus mengeluarkan mahasiswa yg melakukan pelecehan tersebut dan harus di proses hukum",480,2026-04-14T07:04:25Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
5H1OXFi7dPo,@rachmasarla9669,Makanya belum tentu sekolah bagus anak anaknya pinter dan adapnya bagus juga,421,2026-04-14T06:43:57Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
5H1OXFi7dPo,@firasyifa556,Mahasiswa Jurusan Hukum malah langgar hukum😂😂😂😂,206,2026-04-14T07:24:06Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
5H1OXFi7dPo,@NindaSeptiani-dq2qs,"Mundur jadi mahasiswa universitas Indonesia bikin malu sudah,adab nya kemana",192,2026-04-14T05:14:02Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
5H1OXFi7dPo,@paramithasustainable,"Semenjak Ujian National tidak 100%, lebih banyak yg berbayar buat masuk UI dan negeri, yaa begini kualitasnya mahasiswa skg.. nggak heran.",181,2026-04-14T05:33:01Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
MV7r5ar1-1g,@nasirfahrudin,"gw berharap semua lulusan hukum bisa seperti mbak nana yang berani melindungi hukum yang dapat melindungi rakyatnya,<br>bukan malah berlindung dan bersembunyi dibalik hukum yang hanya menguntungkan pihak2 tertentu",113,2022-03-31T08:11:32Z,https://www.youtube.com/watch?v=MV7r5ar1-1g
5H1OXFi7dPo,@atosuprapto3397,Miriss ya mahasiswa  UI lagi 😮😮waduhhh 🤔🙄 kok bisa yaa,110,2026-04-14T05:49:43Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
5H1OXFi7dPo,@RahayuWahyuni-b4z,ADA APA ANGKATAN 2023 UI? DARI.MULAI FAK TEKNIK SMPAI HUKUM MENTALNYA PADA RUSAK,106,2026-04-14T04:22:41Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
5H1OXFi7dPo,@andianto3262,Inilah potret hukum di negara ini...???,99,2026-04-14T04:16:33Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
a5Z4HmgKfOs,@Naufallutfi8309,"Akhirnya zaman kemunduran moral manusia semakin datang hingga merasuki kaum terpelajar ( Mahasiswa/Dosen) yang seharusnya menjadi garda terdepan bagi bangsa dan bisa menjaga adab,moral, dan perilaku",92,2026-04-21T07:36:04Z,https://www.youtube.com/watch?v=a5Z4HmgKfOs
o-1O_hJxMtA,@Ras0915-e5t,"Ini mah presentasi kesalahan, bukan permintaan maaf! Lagian minta maaf tp gk ad sedikitpun raut penyesalan😂",78,2026-04-14T11:44:59Z,https://www.youtube.com/watch?v=o-1O_hJxMtA
a5Z4HmgKfOs,@Juraganemas-m1v,Dosen sakit jiwa nih,68,2026-04-21T07:26:43Z,https://www.youtube.com/watch?v=a5Z4HmgKfOs
lhTP2FTgNZU,@RivelinoMarani,"Jgn diblur muka pelaku,manusia bejat harus dipublish mukanya supaya masyarakat tau.",67,2026-01-02T04:16:57Z,https://www.youtube.com/watch?v=lhTP2FTgNZU
5H1OXFi7dPo,@pierre0000,Tetep ga ngerti walau udah di translate😂,61,2026-04-14T07:50:19Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
5H1OXFi7dPo,@cahmblegedhes7901,"Sekelas UI mau pertahankan mahasiswa begini, apa kata duniaaa...",60,2026-04-14T07:12:37Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
5H1OXFi7dPo,@evaengineering9031,Kuliah di pt top tdk menjamin kedewasaan manusia. Kemajuan teknologi jauh melebihi kemajuan karakter manusia<br>Jangan merasa hebat hanya karena bisa hidup di jaman modern. Kembalilah ke jaman batu ya,57,2026-04-14T05:49:32Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
a5Z4HmgKfOs,@sitihamidah6550,ya ALLAH g dosen g seh2an gus2an ustad2an mahasiswa2an nya pd berhati dajjal,49,2026-04-21T13:56:37Z,https://www.youtube.com/watch?v=a5Z4HmgKfOs
YU7u3co9eZ0,@Indramayu.Culture,Sebut saja kampus UI,48,2026-04-14T02:45:25Z,https://www.youtube.com/watch?v=YU7u3co9eZ0
zEjheW005uI,@LiaDellian,Gila gilaaan ini anak hukum begini...,48,2026-04-14T06:20:33Z,https://www.youtube.com/watch?v=zEjheW005uI
a5Z4HmgKfOs,@tatamarkota7066,"Herannya, kenapa baru sekarang orang-orang kaget kalo ada pelecehan seksual di kampus, padahal sejak dulu udah banyak🥲",42,2026-04-21T08:31:22Z,https://www.youtube.com/watch?v=a5Z4HmgKfOs
YU7u3co9eZ0,@ccnglgnds,"<b>sudah umun dikalangan anak muda jaman now, ga cuma mahasiswa, dari siswa SD, SMP, DAN SMA udh rusak semuanya</b>",42,2026-04-13T23:45:54Z,https://www.youtube.com/watch?v=YU7u3co9eZ0
lhTP2FTgNZU,@HardinTarigan,"Tangkap dosennya,segera masukkn kekandang Macan.hukum adil.0k.",40,2026-01-02T04:19:45Z,https://www.youtube.com/watch?v=lhTP2FTgNZU
5H1OXFi7dPo,@wikaimut22,"DO langsung, ga cocok jadi anak bangsa",38,2026-04-14T09:28:04Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
a5Z4HmgKfOs,@irenehermawan5562,Dosen perlu diperiksa kejiwaannya deh 😑😐,37,2026-04-21T07:37:26Z,https://www.youtube.com/watch?v=a5Z4HmgKfOs
lhTP2FTgNZU,@IpunkAnime,Kalau tidak dihukum mati tidak adil.,36,2026-01-02T04:12:28Z,https://www.youtube.com/watch?v=lhTP2FTgNZU
MV7r5ar1-1g,@byunbaekhyun2283,"Ada Permen yang progresif yang membantu rakyat malah digugat, emang susah mau buat peraturan progresif di dalam negara yang konservatif ini.",36,2022-03-31T08:11:11Z,https://www.youtube.com/watch?v=MV7r5ar1-1g
5H1OXFi7dPo,@TralalaTrilili54,Parah sekali. Tidak menghormati perempuan tidak layak bekerja dan belajar dibidang hukum,36,2026-04-14T08:05:50Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
5H1OXFi7dPo,@amjanwaters6142,"Tidak heran sih..sekarang masuk PTN seperti UI, bisa masuk selama bisa bayar.",35,2026-04-14T06:55:29Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
5H1OXFi7dPo,@pierre0000,"Gua doang disini yang paling polos, ga ngerti downfall apaan, itu mbak&quot; yg merasa korban malah ngerti bahasa gaul kotor😂",33,2026-04-14T07:56:35Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
5H1OXFi7dPo,@cwejutex2543,Perlu di periksa psikis nya. Jangan sampai dia melakukan hal2 yg tidak kita ingin kan. Ucapan keluar dari pikiran. Yg mengakibatkan perilaku tersebut,32,2026-04-14T05:57:46Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
lhTP2FTgNZU,@diazmongi838,"Kasihan orang tuanya merawat dari kecil ,biaya kuliah",31,2026-01-02T04:20:22Z,https://www.youtube.com/watch?v=lhTP2FTgNZU
5H1OXFi7dPo,@rujak0007,"Pecat,kebiri dan penjara..😮 70 thn",31,2026-04-14T06:32:41Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
5H1OXFi7dPo,@RizaHidayat-c7x,Ihh gilaa malunya sampe masuk berita,29,2026-04-14T06:34:21Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
YU7u3co9eZ0,@mohariefbudiantopongky,Ternyata Busuknya DUnia pendidikan Indonesia sudah sampai Di Universitar Indonesia sebuah nama yang mewakili Nama Negara.😭😭😭,29,2026-04-14T01:49:16Z,https://www.youtube.com/watch?v=YU7u3co9eZ0
YU7u3co9eZ0,@Brigademuslim-fd6dn,"Miris, bukan nya kreatip cerdas, mesum terus🤦‍♂️",29,2026-04-14T00:37:25Z,https://www.youtube.com/watch?v=YU7u3co9eZ0
5H1OXFi7dPo,@mohariefbudiantopongky,"Dekan Rektor harus bertanggung jawab, dan Keluarkan 16 Mahasiswqa terkait, Bikin Busuk nama Universitas Indonesia, atau memang sudah Busuk???",27,2026-04-14T07:20:05Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
MV7r5ar1-1g,@kakcopa2478,"Hukum UUD adalah buatan manusia yang bisa berubah kapan saja.<br>Namun cacat logika dalam memahami teks, apakah sebegitu tekstualis tanpa menimbang konteks yang ada dalam nalar manusia?<br>Kejahatan apapun biasanya kita bayangkan kepada diri kita / orang yang kita sayangi.<br>Sungguh malang Permendikbud andai hilang dengan hanya sebuah kata yang salah pemaknaan 🥲",26,2022-03-31T08:17:19Z,https://www.youtube.com/watch?v=MV7r5ar1-1g
a5Z4HmgKfOs,@Daniel_Josh,"Nafsu adalah musuh sejati pria, semoga kita bisa kontrol, yg blm menikah semoga dpt d segerakan",26,2026-04-21T09:13:41Z,https://www.youtube.com/watch?v=a5Z4HmgKfOs
MV7r5ar1-1g,@adindacresheilla9940,Terima kasih banyak mba Najwa sudah membantu membahasakan dengan jelas arti dan tujuan dari Permendikbud ini. Kami siap kawal!,26,2022-03-31T08:58:41Z,https://www.youtube.com/watch?v=MV7r5ar1-1g
5H1OXFi7dPo,@jokowidodoldodol,"klo perempuan yang ngomong pelecahan verbal ke laki-laki gmn ya,, apakah diproses juga atau dibiarkan aja.. soalnya banyak perempuan yang ngomong pelecehan verbal ke laki-laki tapi gak diproses.. katanya emansipasi wanita 😅😅",26,2026-04-14T06:39:10Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
MV7r5ar1-1g,@kuncian,Hahaha logika kelewat mentah..nusuk banget sih Mba Nana 🤣👏,25,2022-03-31T08:04:26Z,https://www.youtube.com/watch?v=MV7r5ar1-1g
5H1OXFi7dPo,@NuraMaxsima,"Yang laki jaga mata, yang perempuan jaga busana<br>Laki-laki perempuan sama2 jaga iman dan pikiran..",25,2026-04-14T21:00:05Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
5H1OXFi7dPo,@dedenherdiana188,"ketika mahasiswa ITS mengembangkan inovasi konversi energi, mahasiswa UI klo ga demo ya ginian😂😂😂😂",25,2026-04-14T07:07:57Z,https://www.youtube.com/watch?v=5H1OXFi7dPo
