video_id,judul,channel,tanggal_tayang,deskripsi,views,likes,komentar,url,keyword
uewQg2I8sY8,VIRAL DOSEN DIDUGA LAKUKAN PELECEHAN DI KRL! Penumpang Teriak Minta Tolong ke Petugas Kereta,Tribunnews Bogor,2026-03-16 06:00:45,Download aplikasi berita TribunX di Play Store atau App Store untuk dapatkan pengalaman baru. TRIBUN-VIDEO.,1110481,1601,85,https://www.youtube.com/watch?v=uewQg2I8sY8,kekerasan seksual dosen mahasiswa
EKt_jIEfWdI,Modus Dosen Rayu Mahasiswi - Ringkus Predator Seksual Kampus (Part 1) | Mata Najwa,Najwa Shihab,2021-11-10 16:05:08,"Kasus kekerasan seksual di kampus ibarat fenomena gunung es. Dari relasi kuasa yang timpang, kurangnya dukungan, dan ...",828229,21966,1571,https://www.youtube.com/watch?v=EKt_jIEfWdI,kekerasan seksual kampus
GQVy_dns1gU,"Tampang Mahasiswa Hukum UI Pelaku Pelecehan di Grup Chat, Korbannya Dosen hingga Kakak Sendiri",Tribunnews,2026-04-14 09:39:27,Download aplikasi berita TribunX di Play Store atau App Store untuk dapatkan pengalaman baru TRIBUN-VIDEO.COM - 16 ...,508538,962,229,https://www.youtube.com/watch?v=GQVy_dns1gU,pelecehan seksual mahasiswa
5H1OXFi7dPo,"VIRAL VIDEO DUGAAN PELECEHAN VERBAL KE MAHASISWA FH UI, KORBAN BERANI ANGKAT BICARA DI DEPAN UMUM",Tribunnews Manado,2026-04-14 03:39:14,"VIRAL VIDEO DUGAAN PELECEHAN VERBAL KE MAHASISWA FH UI, KORBAN BERANI ANGKAT BICARA DI DEPAN UMUM ...",406936,2600,1473,https://www.youtube.com/watch?v=5H1OXFi7dPo,kekerasan seksual kampus
zEjheW005uI,Terbongkar! Grup Chat Mahasiswa FH UI Berisi Rencana Pelecehan Seksual terhadap Mahasiswi &amp; Dosen,Tribunnews,2026-04-14 06:05:36,Download aplikasi berita TribunX di Play Store atau App Store untuk dapatkan pengalaman baru TRIBUN-VIDEO.COM - Kasus ...,346357,878,146,https://www.youtube.com/watch?v=zEjheW005uI,kekerasan seksual kampus
o1JrhUFbTYM,Apakah Perguruan Tinggi Indonesia Gagal Melindungi Korban Kekerasan Seksual?,VICE Indonesia,2019-04-07 03:00:06,"Perguruan tinggi di Indonesia memiliki masalah serius, tetapi hampir jarang dibahas: pelecehan seksual di kampus. Salah satu ...",281710,17732,1357,https://www.youtube.com/watch?v=o1JrhUFbTYM,sexual harassment kampus indonesia
DLgPNcpLx0M,"Viral! Tampang Pelaku Chat Mesum Falkutas Hukum Mahasiswa UI Dipampang di Kampus, Isi Chat Dikuak",Tribunnews Bogor,2026-04-13 11:22:52,Download aplikasi berita TribunX di Play Store atau App Store untuk dapatkan pengalaman baru. Viral Dugaan Pelecehan ...,210838,506,90,https://www.youtube.com/watch?v=DLgPNcpLx0M,pelecehan seksual mahasiswa
rhWxoA-32Lg,Ringkus Predator Seksual Kampus (FULL VERSION) | Mata Najwa,Narasi Newsroom,2021-11-13 03:00:14,"Kasus kekerasan seksual di kampus ibarat fenomena gunung es. Dari relasi kuasa yang timpang, kurangnya dukungan, dan ...",170976,5306,458,https://www.youtube.com/watch?v=rhWxoA-32Lg,kekerasan seksual kampus
r72HK4E6sUE,"Daftar 16 Mahasiswa FH UI Terduga Pelecehan, Sempat Klaim Punya Bekingan Kuat Terungkap ke Publik!!",Tribunnews,2026-04-14 15:21:37,Download aplikasi berita TribunX di Play Store atau App Store untuk dapatkan pengalaman baru TRIBUN-VIDEO.COM - Wakil ...,160429,407,111,https://www.youtube.com/watch?v=r72HK4E6sUE,pelecehan seksual mahasiswa
JPL3EWwAzWk,"Sosok di Balik Bocornya Chat Pelecehan Mahasiswa FH UI, Munif Bongkar Isi Chat usai Diketahui Pacar",Tribunnews Bogor,2026-04-14 12:16:30,Download aplikasi berita TribunX di Play Store atau App Store untuk dapatkan pengalaman baru. TRIBUN-VIDEO.,160262,287,18,https://www.youtube.com/watch?v=JPL3EWwAzWk,pelecehan seksual mahasiswa
